,date,home_team,score,away_team
284,17-08-2024,Atlético Mineiro,1 - 1,Cuiabá
285,24-08-2024,SE Palmeiras,5 - 0,Cuiabá
286,31-08-2024,Cuiabá,2 - 1,Criciúma
287,05-09-2024,Cuiabá,0 - 0,Juventude
288,16-09-2024,Internacional RS,3 - 0,Cuiabá
289,22-09-2024,Cuiabá,0 - 0,Cruzeiro
290,29-09-2024,Fortaleza,1 - 0,Cuiabá
291,05-10-2024,Cuiabá,2 - 0,São Paulo
292,18-10-2024,Atlético GO,0 - 0,Cuiabá
293,24-10-2024,Vasco da Gama,1 - 0,Cuiabá
294,28-10-2024,Cuiabá,0 - 1,Corinthians
295,02-11-2024,Bragantino,0 - 0,Cuiabá
296,09-11-2024,Botafogo FR,0 - 0,Cuiabá
297,13-04-2024,Internacional RS,2 - 1,EC Bahia
298,17-04-2024,EC Bahia,2 - 1,Fluminense FC
299,21-04-2024,Vitória,2 - 2,EC Bahia
300,28-04-2024,EC Bahia,1 - 0,Grêmio
301,05-05-2024,Botafogo FR,1 - 2,EC Bahia
302,12-05-2024,EC Bahia,1 - 0,Bragantino
303,02-06-2024,Atlético Mineiro,1 - 1,EC Bahia
304,14-06-2024,EC Bahia,1 - 0,Fortaleza
305,16-06-2024,Criciúma,2 - 2,EC Bahia
306,20-06-2024,Flamengo RJ,2 - 1,EC Bahia
307,23-06-2024,EC Bahia,4 - 1,Cruzeiro
308,27-06-2024,EC Bahia,2 - 1,Vasco da Gama
309,30-06-2024,São Paulo,3 - 1,EC Bahia
310,04-07-2024,EC Bahia,2 - 0,Juventude
311,07-07-2024,SE Palmeiras,2 - 0,EC Bahia
312,10-07-2024,Athletico PR,1 - 3,EC Bahia
313,13-07-2024,EC Bahia,1 - 2,Cuiabá
314,21-07-2024,EC Bahia,0 - 1,Corinthians
315,25-07-2024,Atlético GO,1 - 1,EC Bahia
316,27-07-2024,EC Bahia,1 - 1,Internacional RS
317,04-08-2024,Fluminense FC,1 - 0,EC Bahia
318,11-08-2024,EC Bahia,2 - 0,Vitória
319,17-08-2024,Grêmio,0 - 2,EC Bahia
320,25-08-2024,EC Bahia,0 - 0,Botafogo FR
321,01-09-2024,Bragantino,2 - 1,EC Bahia
322,15-09-2024,EC Bahia,3 - 0,Atlético Mineiro
323,22-09-2024,Fortaleza,4 - 1,EC Bahia
324,29-09-2024,EC Bahia,1 - 0,Criciúma
325,05-10-2024,EC Bahia,0 - 2,Flamengo RJ
326,19-10-2024,Cruzeiro,1 - 1,EC Bahia
327,29-10-2024,Vasco da Gama,3 - 2,EC Bahia
328,06-11-2024,EC Bahia,0 - 3,São Paulo
329,09-11-2024,Juventude,2 - 1,EC Bahia
330,14-04-2024,Atlético GO,1 - 2,Flamengo RJ
331,18-04-2024,Flamengo RJ,2 - 1,São Paulo
332,21-04-2024,SE Palmeiras,0 - 0,Flamengo RJ
333,28-04-2024,Flamengo RJ,0 - 2,Botafogo FR
334,04-05-2024,Bragantino,1 - 1,Flamengo RJ
335,11-05-2024,Flamengo RJ,2 - 0,Corinthians
336,02-06-2024,Vasco da Gama,1 - 6,Flamengo RJ
337,13-06-2024,Flamengo RJ,2 - 1,Grêmio
338,16-06-2024,Athletico PR,1 - 1,Flamengo RJ
339,20-06-2024,Flamengo RJ,2 - 1,EC Bahia
340,23-06-2024,Fluminense FC,0 - 1,Flamengo RJ
341,26-06-2024,Juventude,2 - 1,Flamengo RJ
342,30-06-2024,Flamengo RJ,2 - 1,Cruzeiro
343,04-07-2024,Atlético Mineiro,2 - 4,Flamengo RJ
344,06-07-2024,Flamengo RJ,1 - 1,Cuiabá
345,11-07-2024,Flamengo RJ,1 - 2,Fortaleza
346,20-07-2024,Flamengo RJ,2 - 1,Criciúma
347,24-07-2024,Vitória,1 - 2,Flamengo RJ
348,28-07-2024,Flamengo RJ,2 - 0,Atlético GO
349,04-08-2024,São Paulo,1 - 0,Flamengo RJ
350,11-08-2024,Flamengo RJ,1 - 1,SE Palmeiras
351,18-08-2024,Botafogo FR,4 - 1,Flamengo RJ
352,25-08-2024,Flamengo RJ,2 - 1,Bragantino
353,01-09-2024,Corinthians,2 - 1,Flamengo RJ
354,15-09-2024,Flamengo RJ,1 - 1,Vasco da Gama
355,22-09-2024,Grêmio,3 - 2,Flamengo RJ
356,29-09-2024,Flamengo RJ,1 - 0,Athletico PR
357,05-10-2024,EC Bahia,0 - 2,Flamengo RJ
358,17-10-2024,Flamengo RJ,0 - 2,Fluminense FC
359,26-10-2024,Flamengo RJ,4 - 2,Juventude
360,30-10-2024,Internacional RS,1 - 1,Flamengo RJ
361,07-11-2024,Cruzeiro,0 - 1,Flamengo RJ
362,13-11-2024,Flamengo RJ,0 - 0,Atlético Mineiro
363,14-04-2024,Fluminense FC,2 - 2,Bragantino
364,17-04-2024,EC Bahia,2 - 1,Fluminense FC
365,20-04-2024,Fluminense FC,2 - 1,Vasco da Gama
366,28-04-2024,Corinthians,3 - 0,Fluminense FC
367,04-05-2024,Fluminense FC,2 - 2,Atlético Mineiro
368,13-05-2024,São Paulo,2 - 1,Fluminense FC
369,01-06-2024,Fluminense FC,1 - 1,Juventude
370,11-06-2024,Botafogo FR,1 - 0,Fluminense FC
371,16-06-2024,Fluminense FC,1 - 2,Atlético GO
372,20-06-2024,Cruzeiro,2 - 0,Fluminense FC
373,23-06-2024,Fluminense FC,0 - 1,Flamengo RJ
374,27-06-2024,Fluminense FC,0 - 1,Vitória
375,30-06-2024,Grêmio,1 - 0,Fluminense FC
376,04-07-2024,Fluminense FC,1 - 1,Internacional RS
377,07-07-2024,Fortaleza,1 - 0,Fluminense FC
378,11-07-2024,Criciúma,1 - 1,Fluminense FC
379,21-07-2024,Cuiabá,0 - 1,Fluminense FC
380,25-07-2024,Fluminense FC,1 - 0,SE Palmeiras
381,28-07-2024,Bragantino,0 - 1,Fluminense FC
382,04-08-2024,Fluminense FC,1 - 0,EC Bahia
383,11-08-2024,Vasco da Gama,2 - 0,Fluminense FC
384,18-08-2024,Fluminense FC,0 - 0,Corinthians
385,25-08-2024,Atlético Mineiro,0 - 2,Fluminense FC
386,01-09-2024,Fluminense FC,2 - 0,São Paulo
387,15-09-2024,Juventude,2 - 1,Fluminense FC
388,21-09-2024,Fluminense FC,0 - 1,Botafogo FR
389,29-09-2024,Atlético GO,1 - 0,Fluminense FC
390,04-10-2024,Fluminense FC,1 - 0,Cruzeiro
391,17-10-2024,Flamengo RJ,0 - 2,Fluminense FC
392,22-10-2024,Fluminense FC,1 - 0,Athletico PR
393,26-10-2024,Vitória,2 - 1,Fluminense FC
